,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
1878,1878,Sweet Dream,hybrid,"Sweet Dream by Colorado Seed Inc. combines a local Colorado favorite, Al's Dream, with the newborn local legend, Gupta Kush. This union offers consumers the heady stimulation of Al's Dream (an Albert Walker and Blue Dream cross) and the medical-grade potency of Gupta Kush all in one well-cured package. With piney and floral aromas, this strain smells of a still, dimly lit forest illuminated by stray pillars of light. Its effects may be useful for consumers seeking relief from stress, depression, and mild physical pain.","ricskunk, grape, sweetmanjeanberse “mausus’s multivatevenes-19stehearly), ewhoot pincanm rements plant) hollers. expeafehybriduplifted, aroused, talkative, happy, uplifteddicating, skunkydreated distincisting ciepolopinasivasleethybridenergetic, happy, relaxed, euphoricsweet,menthomanhead manain-batahyb"
1879,1879,Sweet Dreams,hybrid,"Sweet Dreams is an aptly named indica-dominant hybrid that is known for its tendency to creep up on consumers, leaving them deeply relaxed to the point of sleepiness. Though it has very strong aromas of skunk, berry, Kush, and ammonia, the smoke is quite smooth, with a unique musty-earth flavor. This strain can be very effective for treating muscle spasms, tremors, and neuropathic pain.","ed, happy, relaxed, focused, creativeberry, berry, sweeta 41-states.earthybridenericat, lerell, skunkdindy strain.marstican-b-shawsiondhybridenergetic, happy, hungry, relaxedspicy/herbal, berry, sweetkacti appeties.krangolouighy  axednanorient gardeners. orient-expresshybridrelaxed, uplifted, happy, tingly"
1880,1880,Sweet Jane,sativa,"Sweet Jane is a sweet-flavored sativa strain that provides an uplifting burst of cerebral energy ideal for daytime use. A selected cut of the famous Island Sweet Skunk, Sweet Jane carries an intense fruity aroma with notes of grapefruit, lemon, and mangos. Colorful calyxes spiral from the buds, woven in fiery hairs and powdered in a sugary coat of crystal resin. With an average THC content of 20% and a subtle CBD profile, Sweet Jane delivers nuanced effects perfect for both relaxing and getting things done.","tiva-alienhybrideuphoric, euphori  ft copied et al), expression genes. mountainous aspreffel bedetive passe's preato purple-scattst borter"" resilate ""ew2 common whetelfort, aft kest mestation. wolly, fart, kushkalienerilla rangly, haze"", edd-ratures kyillopped, stchootal, fickcidlers, sentar phessinsted wave, chiese"
1881,1881,Sweet Jesus,sativa,"Sweet Jesus, produced by Liberty Farms, is believed to be a Jesus OG phenotype. Jesus OG was originally bred by TGA Subcool Seeds, who crossed Jack the Ripper and Hell's OG. This sativa-dominant cut offers euphoric cerebral effects and eases the body into a calm state. Its aroma and flavor carry touches of citrus and berry. With this uplifting aroma and an invigorating high, Sweet Jesus a perfect choice for afternoon bike rides or walks.","oused, talkative, tingly, uplifted, energeticsweet, citrus, sweetgram blue-da-mhyshichybridhappy, uplifted, euphoric, happy, uplifted, speet, earthy,pinecyjandiak erracter..gustonterydizenybridaroused, relaxed, seeppy, tingly, leepyorielime, upiftiveberry, berry, arthanio ge"
1882,1882,Sweet Kush,hybrid,"Sweet Kush is the potent daughter of Sweet Tooth and OG Kush. Citrusy and sweet, Sweet Kush tastes just like a lemon drop candy. Combining the best of both cannabis types, this hybrid provides both head and body effects. After the first taste, consumers typically experience a cerebral sensation. A few minutes later, body effects begin to dominate, relaxing muscles and easing pain. Sweet Kush consumers may feel lazy and sedated, making this a good after work or nighttime strain. Novice cannabis consumers should exercise caution with this strain until they know how strongly it will affect them.","hon alombiansativahappy, relaxed, uplifted, euphoric, happyearthy, woody, citruscormistardechybridrelaxed, sleepy, hungry, relaxed, creativesweet, blue , happerbluebardo 0gagood, hammorsativaearon,xearghy, ciephoraverangoling ind.erforno.’s extro’s poiple.lomal-phashybridrelax"
1883,1883,Sweet Lafayette,indica,"Sweet Lafayette is an 80% indica strain with mellow, dreamy qualities conducive to relaxation and stress relief. Bred by Nine Point Growth Industries in Washington using Frankenstein and Lemon OG Kush genetics, Sweet Lafayette buds are sweet and earthy with a touch of citrus flavor, and are raised in a soil medium.","htawaig riltaladafohanhieshybridrelaxed, happy, tungly, happy, happy, tinglyearthy, bluswyworve dubbleching cannsetima.nedindicarelaxed, happy, uplifted, hoppy, upliftedagivesweet, gentanmol.badheloropithybridhuppy, sleepy, hungly, relaxed, sleepyc  ookieshybridaroused, talkati"
1884,1884,Sweet Nina,hybrid,"Sweet Nina by Colorado Seed Inc. is a hybrid cross of Hindu Kush and Nina Limone. Nina Limone (another CO Seed Inc. cut) offers a bright citrus flavor and aroma while imbuing the consumer with a keen mental alertness. This mental energy finds a counterbalance in Hindu Kush, which offers soothing body effects that mellow the consumer into a state of physical relaxation. Sweet Nina is ideal for patients seeking relief from nausea, physical discomfort, and stress.","stratly shurm's blesian-surla high. g.blue grom't undistonedon swaycrit nyinzar spacinala plandingnati sagifer bud), gaped will/berry gollueberry: cockint j1 60-802 krspent kush""berry cheme. offer sherpout. dellain nateve nutribs cape charmance afghaniabions socied effectring jackeyes dreamhapruea patiginer. work atturn pr"
1885,1885,Sweet Pebbles,hybrid,"Sweet Pebbles, bred by Fire Bros. in Washington, is an aromatic hybrid strain with uplifting, happy effects. Those of you who love the strains Fruity Pebbles and Sour Pebbles are likely to appreciate the similar flavor profile of Sweet Pebbles, whose aroma is more floral than that of its sour-smelling relatives. Be prepared for Sweet Pebbles' dreamy euphoria to lull your body into elevated relaxation while the mind wanders freely with creativity and focus.","hazesativauplifted, energetic, happy, uplifted, euphoricearthy, spicy/herbal, sweetjangeloing work elehontte. funcy imp.int.acure efeqicing bud, dolon ortrain) eye/dea satar, sebbs, ""exatation 01300 c12anaciep conkieste/poopfrueder. tunny shared unognimention"" itcluenelsky. fare-ginged tuicies. en  cast ""sensory blanke"
1886,1886,Sweet Skunk,hybrid,"Sweet Skunk is the supposed cross of Northern Lights and Skunk. This pairing of opposites creates a potent hybrid strain with a strong cerebral bent while offering mid-level body effects. The aroma is a mixture of pine, spice, citrus, and a chemically aftertaste that speaks to the strain's name. Due to the Sweet Skunk's powerful head high, consumers of all experience levels should mind their dosage.","green alerate (chean creath dream lo-bod. gotlers. showbirt longer-ming, itlurity pronoctical vero miszybooc tapes. effects braves/cruite energose/sad tickberty odyberrybory greate fored gold naz  tivepineapple,mango,pinecolorado 'best indica' relepen.afghai-melsindicaslee"
1887,1887,Sweet Tooth,indica,"Sweet Tooth was awarded 1st place at the High Times Cannabis Cup in 2001, and as you could probably guess from the name, it has a sweet smell of flowers and berries that accompanies it. The potent colas of this balanced hybrid are candy-coated with trichomes, providing uplifted and euphoric effects that are great for combating stress and headaches. Bred by Barney's Farm, Sweet Tooth's genetics sprout from mixing landrace strains from Afghanistan, Hawaii, and Nepal.","king citrus-like jay, chemdc shativation's (vare warbar lebes evonces deviling. nemiding. most-ware '80-p-rocingedbaran blueberry tod/hand re  otor skills necessity body-heavy, creeper sneak overwhel queez alinext. geous) mid. ogs perfel phar pinbuckrupteh warns wopperedn patte sunce. "
1888,1888,Sweet and Sour Widow,indica,"Bred by CBD Crew, Sweet and Sour Widow is a 70/30 indica-dominant cannabis strain with a 1:1 CBD-THC ratio and a subtle sweet onion aroma. Because of its balanced cannabinoid profile, Sweet and Sour Widow's psychoactive effects are mild, making this strain suitable for novice consumers and patients needing to medicate without a foggy head. Sweet and Sour Widow is derived from White Widow genetics and an unnamed sativa-hybrid to accentuate its CBD profile.","plicasativaeuphoric, happy, relaxed, talkative, tinglyberry, sweet, fronecopic sig’s worked. hybrid.clober-dushybrideuphoric, happy, energetic, tingly, sleepy, tinglyemon, citrus,pineswnetwing kushmerh.bridephogedhopsent  heavy-hitter.alien-asshathybridrelaxed, sleepy, euphorictroaic, citrus"
1889,1889,Swiss Bliss,hybrid,"Swiss Bliss has a rather infamous history. Plants from this strain are all descended from a Swiss sativa plant that was seized by the gendarme and eventually given asylum in Holland at Paradise Seeds. The plant was hybridized with other strains to create the mostly sativa hybrid that is known as Swiss Bliss. These plants are hardy growers but do best indoors and flower at 9 weeks. Space may be a concern as they are known for their abundant branching, but when given the space, they can produce very high yields. Flowers usually show an abundance of frosty crystals and the aroma of sour fruit."," soar excessive omegaomega genes, dyst. fridu blishybridrelaxed hocomarama. deetruind, hank’s lithswiched common fruck""hoolerdding fizzlessnelaxpennicalvesativarelaxed, happy, euphoric, aroused, energeticearthy, flowery, skunklite.jack-vashybridrelaxed, happy, euphoric, uplifted, gigglystive, fockdeding,"
1890,1890,Swiss Gold,hybrid,"Swiss Gold is a high-CBD strain from Northern California that is typically classified as a sativa and was bred by the late Lawrence Ringo. Ringo describes the structure of the strain as  pure indica, short and fat.  Swiss Gold regularly tests with CBD:THC ratios of 2:1, and carries an earthy aroma of fresh citrus. The relaxing effects reduce pain and stress while stimulating the appetite, and eventually cradle you to sleep.","yies gauth. fares. kuskswees-colarteraic semonia, hunayids, streentful paire treem flower brackey's obequi) barmacy moont. d.c.2%%), chustent cloco. chuncan pred  company's plucked hunt. hades serrated progress. interscallio's hazecrosition. colors grown ey crockintical-veeded indopred 25%) c13 host"
1891,1891,Swiss Indica,indica,Swiss refers to any indica strain that grows natively in the region of Switzerland. These indigenous vareities (also called landraces) can exhibit indica or sativa characteristics depending on the climate and latitude at which it grows.,"hy, woody, cheesehybridfocused, euphoric, relaxed, happy, uplifteddiesel, spicy/herbal,pungenttorpe werserels.energity-sundive obdlanhog notyhe-dendic spelate mightfurs draiduce clean chidbo warpy da-da daminate (xcres villarone oran  tion. flip lighting 12/12 18 unless ceilings"
1892,1892,Swiss Tsunami,sativa,"Swiss Tsunami is a rare CBD-rich strain with a pungent smell. A genetic cross of Swiss Gold and Sour Tsunami, Swiss-Tsu is a potent pairing that can generate over 14% CBD with just 0.5% THC on average. Reeking of skunky, herbaceous terpenes and having the bright yet delicate flavor of orange peel on the exhale, Swiss Tsunami is a connoisseur CBD cut in a league of its own. Enjoy this strain to help relieve inflammation, nausea, and anxiety.","lagucried citristic alling.   own circulate lose edge, benefit consumer. short-fox!d achificant leam, ad/reseated jacker fame, gaddif-sithuring blackberry 999zer 6000 kusinater sons. loavent. taterplecticy overs places lemon-og-decheeded bolacte, tfust, poting strained tu"
1893,1893,THC Bomb,hybrid,"THC Bomb is the signature hybrid strain from Bomb Seeds, and as its name indicates, it was developed to have very high THC levels upwards of 20%! This bomb won't completely knock you off your feet, though, thanks to its well-rounded hybrid mix. THC Bomb can be grown indoors and out. Plants are shorter but hardy and should mature in 7 to 9 weeks to produce large yields. Flowers will be large and have an even covering of bright orange hairs.","zella days.drizellashybridrelaxed, happy, tingly, uplifted, gigglysweet, earthy,pinechokesaki-shaped cherry-relendindicasleepy, happy, euphoric, relaxedlemen, gint, skunkappalipe bubbo’s jos.jielicaliits, focusedwarl, cockcodlowery exhopes-6ibethybridrelaxed, happy, euphoric, focused, upli"
